codeId,codeType,txtName,codeLgt,codeMarking,txtDescrLgt,txtDescrMarking,geoLat,geoLong,valGeoAccuracy,uomGeoAccuracy,valElev,valElevAccuracy,valHgt,codeHgtAccuracy,uomDistVer,valRadius,uomRadius,codeGroupId,txtGroupName,codeLinkedToId,codeLinkType,datetimeValidWef,datetimeValidTil,txtRmk,source
"207","WINDTURBINE","WINDTURBINE","N","","","","37.47881111N","023.13031667E","0","M","839","0","125","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"208","WINDTURBINE","WINDTURBINE","N","","","","37.47908056N","023.12757778E","0","M","840","0","125","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"209","WINDTURBINE","WINDTURBINE","Y","","","","37.47981667N","023.12488889E","0","M","835","0","125","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"210","WINDTURBINE","WINDTURBINE","N","","","","37.48030556N","023.12143333E","0","M","819","0","125","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"211","WINDTURBINE","WINDTURBINE","Y","","","","37.48050278N","023.11766389E","0","M","843","0","125","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"212","WINDTURBINE","WINDTURBINE","N","","","","38.22574722N","023.07479444E","0","M","718","0","110","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"213","WINDTURBINE","WINDTURBINE","Y","","","","38.22489444N","023.07719167E","0","M","719","0","110","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"214","WINDTURBINE","WINDTURBINE","N","","","","38.22344722N","023.07894722E","0","M","697","0","110","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"215","WINDTURBINE","WINDTURBINE","N","","","","38.22204722N","023.08070278E","0","M","679","0","110","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"216","WINDTURBINE","WINDTURBINE","N","","","","38.22070000N","023.08251111E","0","M","666","0","110","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"217","WINDTURBINE","WINDTURBINE","Y","","","","38.21994444N","023.08496667E","0","M","644","0","110","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"218","WINDTURBINE","WINDTURBINE","N","","","","38.21943333N","023.08782778E","0","M","639","0","110","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"219","WINDTURBINE","WINDTURBINE","N","","","","38.24171389N","023.11248333E","0","M","642","0","110","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"220","WINDTURBINE","WINDTURBINE","Y","","","","38.24418056N","023.11353889E","0","M","652","0","110","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"221","WINDTURBINE","WINDTURBINE","N","","","","38.24607222N","023.11563056E","0","M","665","0","110","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"222","WINDTURBINE","WINDTURBINE","N","","","","38.24632500N","023.11832500E","0","M","679","0","110","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"223","WINDTURBINE","WINDTURBINE","N","","","","38.24680278N","023.12080000E","0","M","682","0","110","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"224","WINDTURBINE","WINDTURBINE","Y","","","","38.24715556N","023.12333056E","0","M","676","0","110","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"225","WINDTURBINE","WINDTURBINE","N","","","","38.24749722N","023.12584167E","0","M","684","0","110","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"226","WINDTURBINE","WINDTURBINE","N","","","","38.24771667N","023.12855833E","0","M","694","0","110","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
"227","WINDTURBINE","WINDTURBINE","N","","","","38.24768333N","023.13111944E","0","M","694","0","110","Y","M","0","M","","","","","2019-02-28T00:00:00Z","2021-02-28T00:00:00Z","","LG|ENR|5.4|2019-02-28|PDF"
