codeId,codeType,txtName,codeLgt,codeMarking,txtDescrLgt,txtDescrMarking,geoLat,geoLong,valGeoAccuracy,uomGeoAccuracy,valElev,valElevAccuracy,valHgt,codeHgtAccuracy,uomDistVer,valRadius,uomRadius,codeGroupId,txtGroupName,codeLinkedToId,codeLinkType,datetimeValidWef,datetimeValidTil,txtRmk,source
"83728","CHIMNEY","PRACHOVICE","N","N","","","49.89463333N","015.63715000E","0","M","531","0","103","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Chimney","LK|ENR|5.4|2019-04-17|CSV"
"83618","CHIMNEY","PREROV","Y","Y","Night marking","Day marking","49.44839722N","017.43097222E","0","M","307","0","100","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Chimney","LK|ENR|5.4|2019-04-17|CSV"
"83617","CHIMNEY","PREROV","Y","Y","Night marking","Day marking","49.44512778N","017.42831389E","0","M","334","0","126","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Chimney","LK|ENR|5.4|2019-04-17|CSV"
"83620","CHIMNEY","PREROV","Y","Y","Night marking","Day marking","49.45107778N","017.43093889E","0","M","309","0","100","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Chimney","LK|ENR|5.4|2019-04-17|CSV"
"83619","CHIMNEY","PREROV","Y","Y","Night marking","Day marking","49.44990278N","017.42609444E","0","M","308","0","101","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Chimney","LK|ENR|5.4|2019-04-17|CSV"
"83622","CHIMNEY","PRIBRAM","Y","Y","Night marking","Day marking","49.70502222N","013.97903611E","0","M","666","0","161","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Chimney","LK|ENR|5.4|2019-04-17|CSV"
"83621","CHIMNEY","PRIBRAM","Y","Y","Night marking","Day marking","49.69758611N","013.99525833E","0","M","648","0","150","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Chimney","LK|ENR|5.4|2019-04-17|CSV"
"83583","CHIMNEY","PRISECNA","Y","Y","Night marking","Day marking","48.83544167N","014.33727222E","0","M","655","0","114","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Chimney","LK|ENR|5.4|2019-04-17|CSV"
"83882","WINDTURBINE","PROTIVANOV","Y","Y","Night marking","Day marking","49.47729444N","016.84871389E","0","M","805","0","123","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Wind power plant","LK|ENR|5.4|2019-04-17|CSV"
"83776","WINDTURBINE","PROTIVANOV","Y","Y","Night marking","Day marking","49.47661944N","016.85484444E","0","M","800","0","123","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Wind power plant","LK|ENR|5.4|2019-04-17|CSV"
"83565","CHIMNEY","PRUNEROV","Y","Y","Night marking","Day marking","50.41784444N","013.25918056E","0","M","657","0","301","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Chimney","LK|ENR|5.4|2019-04-17|CSV"
"83567","TOWER","PRUNEROV","N","Y","","Day marking","50.42097500N","013.26645278E","0","M","481","0","120","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Cooling tower","LK|ENR|5.4|2019-04-17|CSV"
"83566","TOWER","PRUNEROV","N","Y","","Day marking","50.42085000N","013.26237778E","0","M","461","0","100","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Cooling tower","LK|ENR|5.4|2019-04-17|CSV"
"83569","CHIMNEY","PRUNEROV","Y","Y","Night marking","Day marking","50.41182500N","013.25280278E","0","M","554","0","200","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Chimney","LK|ENR|5.4|2019-04-17|CSV"
"83568","TOWER","PRUNEROV","N","Y","","Day marking","50.42090833N","013.26434444E","0","M","481","0","120","Y","M","0","M","","","","","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Cooling tower","LK|ENR|5.4|2019-04-17|CSV"
"99970","TOWER","RADIMOVICE","N","N","","","50.63597500N","015.07942778E","0","M","431","0","47","Y","M","0","M","cd13f9f3-9d2f-49c7-a9bf-95675c59fc28","Group ID 438","","CABLE","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Pole","LK|ENR|5.4|2019-04-17|CSV"
"99969","TOWER","RADIMOVICE","N","N","","","50.63252222N","015.07585278E","0","M","433","0","128","Y","M","0","M","cd13f9f3-9d2f-49c7-a9bf-95675c59fc28","Group ID 438","99970","CABLE","2019-04-17T00:00:00Z","2021-04-17T00:00:00Z","Transmission line","LK|ENR|5.4|2019-04-17|CSV"
