codeId,codeType,txtName,codeLgt,codeMarking,txtDescrLgt,txtDescrMarking,geoLat,geoLong,valGeoAccuracy,uomGeoAccuracy,valElev,valElevAccuracy,valHgt,codeHgtAccuracy,uomDistVer,valRadius,uomRadius,codeGroupId,txtGroupName,codeLinkedToId,codeLinkType,datetimeValidWef,datetimeValidTil,txtRmk,source
259,MAST,ÅRJÄNG,YES,,F R,,59.40381,12.110111,0,M,1160,0,381,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
260,MAST,KARLSTAD/SÖRMON/1,YES,,F R/FLG W,,59.39203,13.38325,0,M,904,0,604,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
268,MAST,ÖLME,YES,,F R,,59.35853,14.002111,0,M,715,0,577,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
270,MAST,DEGERFORS,YES,,F R/FLG W,,59.20728,14.383223,0,M,1053,0,525,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
271,MAST,FILIPSTAD/KLOCKARHÖJDEN,YES,,F R/FLG W,,59.682503,14.123972,0,M,2013,0,1083,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
272,MAST,ÖREBRO/LOCKHYTTAN,YES,,F R/FLG W,,59.429363,15.048834,0,M,1873,0,1060,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
276,MAST,RIDDARHYTTAN,YES,,F R/FLG W,,59.849472,15.570666,0,M,1319,0,427,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
281,MAST,VÄSTERÅS/LILLHÄRAD,YES,,F R/FLG W,,59.643612,16.400667,0,M,1184,0,1070,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
286,MAST,SALA 2,YES,,F R,,59.91186,16.649834,0,M,580,0,420,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
287,CHIMNEY,VÄSTERÅS,YES,,F R,,59.588417,16.513416,0,M,503,0,492,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Chimney,Swedish Aeronautical Information Service
293,OTHER,UPPSALA DOMKYRKA,NO,,,,59.857777,17.632418,0,M,430,0,377,NO,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Church,Swedish Aeronautical Information Service
300,CHIMNEY,UPPSALA/BRÄNNUGNEN,YES,,F R,,59.852222,17.678804,0,M,381,0,328,NO,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Chimney,Swedish Aeronautical Information Service
301,MAST,BÅLSTA/EKOLSUND,YES,,F R,,59.623276,17.418139,0,M,576,0,404,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
310,OTHER,OKNÖ,YES,,F R,,59.526276,17.126917,0,M,400,0,354,NO,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Pylon power line,Swedish Aeronautical Information Service
319,CHIMNEY,STOCKHOLM/FITTJA,YES,,F R,,59.25814,17.864084,0,M,344,0,328,NO,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Chimney,Swedish Aeronautical Information Service
320,MAST,STOCKHOLM/HAGBY,YES,,F R,,59.49136,17.981585,0,M,452,0,394,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
321,CHIMNEY,STOCKHOLM/HÄSSELBYSTRAND1,YES,,F R/FLG W,,59.361443,17.826307,0,M,482,0,387,NO,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Chimney,Swedish Aeronautical Information Service
325,MAST,BROTTBY,YES,,F R,,59.59,18.365639,0,M,643,0,404,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
329,MAST,ORNÖ,YES,,F R,,59.021442,18.381416,0,M,444,0,358,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
332,MAST,VÄDDÖ,YES,,F R/FLG W,,59.968224,18.839918,0,M,628,0,505,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
337,MAST,ÅGESTA,YES,,F R,,59.20628,18.085056,0,M,609,0,394,YES,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Mast,Swedish Aeronautical Information Service
338,TOWER,STOCKHOLM/DJURGÅRDEN,YES,,F R/FLG W,,59.32311,18.09628,0,M,338,0,328,NO,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Tower,Swedish Aeronautical Information Service
339,CHIMNEY,STOCKHOLM/HÖGDALEN,YES,,F R,,59.256474,18.061277,0,M,597,0,459,NO,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Chimney,Swedish Aeronautical Information Service
340,TOWER,STOCKHOLM/KAKNÄS,YES,,F R/FLG W,,59.33422,18.125723,0,M,591,0,509,NO,FT,0,M,,,,,2019-03-28T00:00:00Z,2021-03-28T23:59:59Z,Tower,Swedish Aeronautical Information Service
