obs_id;aip_id;obs_txt_name;obs_txt_name_cz;obs_txt_descr_type;obs_txt_descr_type_cz;obs_val_elev;obs_val_hgt;obs_uom_dist_ver;obs_txt_ver_datum;obs_geo_lat;obs_geo_long;obs_code_datum;obs_txt_descr_marking;obs_txt_descr_marking_cz;obs_txt_descr_lgt;obs_txt_descr_lgt_cz;obs_code_lgt;obs_txt_rmk;obs_txt_rmk_cz
83801;38;KRYSTOFOVY HAMRY;KRYŠTOFOVY HAMRY;wind power plant;větrná elektrárna;972;120;M;BpV;502650.62N;0131011.82E;WGE;ValueEmpty;ValueEmpty;night marking;noční značení;Y;ValueEmpty;ValueEmpty
99858;391;LEDVICE;LEDVICE;cooling tower;chladící věž;344;145;M;BpV;503437.42N;0134642.59E;WGE;day marking;denní značení;ValueEmpty;ValueEmpty;N;ValueEmpty;ValueEmpty
99859;392;LEDVICE;LEDVICE;building;budova;344;145;M;BpV;503440.95N;0134651.60E;WGE;ValueEmpty;ValueEmpty;night marking;noční značení;Y;ValueEmpty;ValueEmpty
83548;96;LEDVICE;LEDVICE;chimney;komín;320;121;M;BpV;503430.77N;0134646.47E;WGE;day marking;denní značení;night marking;noční značení;Y;ValueEmpty;ValueEmpty
83547;95;LEDVICE;LEDVICE;chimney;komín;406;206;M;BpV;503435.77N;0134645.78E;WGE;day marking;denní značení;night marking;noční značení;Y;ValueEmpty;ValueEmpty
83532;8;LIBAVSKE UDOLI;LIBAVSKÉ ÚDOLÍ;chimney;komín;549;121;M;BpV;500742.89N;0123320.96E;WGE;day marking;denní značení;night marking;noční značení;Y;ValueEmpty;ValueEmpty
83866;131;LIBCICE NAD VLTAVOU;LIBČICE NAD VLTAVOU;chimney;komín;277;102;M;BpV;501159.87N;0142155.18E;WGE;day marking;denní značení;ValueEmpty;ValueEmpty;N;ValueEmpty;ValueEmpty
99910;412c;LIBCICE NAD VLTAVOU;LIBČICE NAD VLTAVOU;pole;sloup;280;16;M;BpV;501058.00N;0142225.55E;WGE;without marking;bez značení;ValueEmpty;ValueEmpty;N;NR:412c (Part of line obstacle: 412);NR:412c (Součást liniové překážky: 412)
99909;412b;LIBCICE NAD VLTAVOU;LIBČICE NAD VLTAVOU;transmission line;el. vedení;278;109;M;BpV;501100.50N;0142211.75E;WGE;without marking;bez značení;ValueEmpty;ValueEmpty;N;NR:412b (Part of line obstacle: 412);NR:412b (Součást liniové překážky: 412)
99908;412a;LIBCICE NAD VLTAVOU;LIBČICE NAD VLTAVOU;pole;sloup;272;22;M;BpV;501103.99N;0142151.13E;WGE;without marking;bez značení;ValueEmpty;ValueEmpty;N;NR:412a (Part of line obstacle: 412);NR:412a (Součást liniové překážky: 412)
83664;181;LIBEREC;LIBEREC;chimney;komín;489;133;M;BpV;504528.46N;0150327.70E;WGE;day marking;denní značení;night marking;noční značení;Y;ValueEmpty;ValueEmpty
83658;177;LIBLICE;LIBLICE;mast;stožár;611;355;M;BpV;500347.01N;0145312.97E;WGE;day marking;denní značení;night marking;noční značení;Y;ValueEmpty;ValueEmpty
83657;176;LIBLICE;LIBLICE;mast;stožár;611;355;M;BpV;500343.28N;0145311.47E;WGE;day marking;denní značení;night marking;noční značení;Y;ValueEmpty;ValueEmpty
83809;310;LIPNA;LIPNÁ;wind power plant;větrná elektrárna;729;150;M;BpV;494003.79N;0174211.79E;WGE;day marking;denní značení;night marking;noční značení;Y;ValueEmpty;ValueEmpty
83587;246;LITOMYSL;LITOMYŠL;chimney;komín;422;101;M;BpV;495242.97N;0161720.00E;WGE;day marking;denní značení;night marking;noční značení;Y;ValueEmpty;ValueEmpty
83552;73;LITVINOV;LITVÍNOV;chimney;komín;378;131;M;BpV;503358.48N;0133559.38E;WGE;day marking;denní značení;ValueEmpty;ValueEmpty;N;ValueEmpty;ValueEmpty
83551;81;LITVINOV;LITVÍNOV;cooling tower;chladící věž;343;102;M;BpV;503330.39N;0133654.22E;WGE;day marking;denní značení;ValueEmpty;ValueEmpty;N;ValueEmpty;ValueEmpty
83553;70;LITVINOV;LITVÍNOV;chimney;komín;355;100;M;BpV;503430.37N;0133536.10E;WGE;without marking;bez značení;ValueEmpty;ValueEmpty;N;ValueEmpty;ValueEmpty
83558;80;LITVINOV;LITVÍNOV;cooling tower;chladící věž;343;102;M;BpV;503333.27N;0133654.18E;WGE;day marking;denní značení;ValueEmpty;ValueEmpty;N;ValueEmpty;ValueEmpty
83561;83;LITVINOV;LITVÍNOV;chimney;komín;394;151;M;BpV;503356.48N;0133719.27E;WGE;day marking;denní značení;ValueEmpty;ValueEmpty;N;ValueEmpty;ValueEmpty
