codeGroup,groupInternalId,name,type,lighted,markingDescription,heightUnit,heightValue,elevationValue,latutide,longitude,defaultHeightFlag,verticalPrecision,lateralPrecision,obstacleRadius,linkedToGroupInternalId,linkType
,,NÄSBYHOLM,Wind turbine,true,,ft,331,156.0576,55.4525,13.466944,false,,,,,
,,NÄSBYHOLM,Wind turbine,true,,ft,331,155.1432,55.454445,13.463889,false,,,,,
,,NÄSBYHOLM,Wind turbine,true,,ft,331,152.0952,55.45639,13.460834,false,,,,,
,,LYBY,Wind turbine,true,,ft,390,238.9632,55.823055,13.643888,false,,,,,
,,LYBY,Wind turbine,true,,ft,390,238.9632,55.824722,13.649722,false,,,,,
,,EVERÖD,Wind turbine,true,,ft,328,174.95520000000002,55.595833,13.941112,false,,,,,
,,EVERÖD,Wind turbine,true,,ft,328,174.95520000000002,55.593056,13.943334,false,,,,,
,,NYGÅRDSHUS,Wind turbine,true,,ft,390,217.01760000000002,55.828056,13.4366665,false,,,,,
,,SKARHULT,Wind turbine,true,,ft,390,177.08880000000002,55.789722,13.36389,false,,,,,
,,SKARHULT,Wind turbine,true,,ft,390,178.91760000000002,55.787777,13.365556,false,,,,,
,,SKARHULT,Wind turbine,true,,ft,390,182.88,55.78583,13.3675,false,,,,,
,,SKARHULT,Wind turbine,true,,ft,390,185.0136,55.78389,13.369445,false,,,,,
,,ÄSPINGE,Wind turbine,true,,ft,390,217.01760000000002,55.785,13.407222,false,,,,,
,,ÄSPINGE,Wind turbine,true,,ft,390,210.9216,55.78472,13.401667,false,,,,,
,,ÄSPINGE,Wind turbine,true,,ft,390,220.98000000000002,55.788334,13.407499,false,,,,,
,,ÄSPINGE,Wind turbine,true,,ft,390,213.0552,55.787777,13.402222,false,,,,,
,,KUNGSHULT,Wind turbine,true,,ft,456,228.90480000000002,55.846943,13.482222,false,,,,,
,,KUNGSHULT,Wind turbine,true,,ft,456,225.85680000000002,55.84333,13.484167,false,,,,,
,,KUNGSHULT,Wind turbine,true,,ft,456,220.06560000000002,55.844166,13.476666,false,,,,,
,,ÄSPERÖD,Wind turbine,true,,ft,390,206.9592,55.62,13.926111,false,,,,,
,,ÄSPERÖD,Wind turbine,true,,ft,390,216.10320000000002,55.623333,13.923334,false,,,,,
,,HÖGSERÖD,Wind turbine,true,,ft,410,231.95280000000002,55.80528,13.543056,false,,,,,
,,HÖGERSRÖD,Wind turbine,true,,ft,410,232.86720000000003,55.806942,13.546945,false,,,,,
,,HÖNSINGE,Wind turbine,true,,ft,410,173.12640000000002,55.42889,13.3975,false,,,,,
,,HÖNSINGE,Wind turbine,true,,ft,410,170.99280000000002,55.42917,13.403333,false,,,,,
,,HÖNSINGE,Wind turbine,true,,ft,410,167.03040000000001,55.429447,13.409166,false,,,,,
,,ST. HERREST, R Wind turbine,true,,ft,328,2.4384,55.48639,13.8752775,false,,,,,
,,MINNESBERG,Wind turbine,true,,ft,390,174.04080000000002,55.478058,13.194167,false,,,,,
,,SVALÖV,Wind turbine,true,,ft,328,160.02,55.901947,13.1475,false,,,,,
,,SVALÖV,Wind turbine,true,,ft,328,163.068,55.903614,13.142777,false,,,,,
,,MARIEHOLM,Wind turbine,true,,ft,328,136.8552,55.875275,13.1247225,false,,,,,
,,TROLLEBERG,Wind turbine,true,,ft,390,131.064,55.700558,13.128889,false,,,,,
,,TROLLEBERG,Wind turbine,true,,ft,390,128.93040000000002,55.700832,13.124445,false,,,,,
,,TOMELILLA,Wind turbine,true,,ft,390,200.8632,55.590275,13.991944,false,,,,,
,,BOARP,Wind turbine,true,,ft,453,295.9608,55.8225,13.776667,false,,,,,
,,BOARP,Wind turbine,true,,ft,453,298.0944,55.81972,13.7699995,false,,,,,
,,BOARP,Wind turbine,true,,ft,453,296.8752,55.818054,13.7775,false,,,,,
,,SVALÖV,Wind turbine,true,,ft,410,199.9488,55.956112,13.048056,false,,,,,
,,SVALÖV,Wind turbine,true,,ft,410,199.0344,55.952778,13.050556,false,,,,,
,,SVALÖV,Wind turbine,true,,ft,410,199.0344,55.949444,13.053056,false,,,,,
